RCODE,Region,top20,programs,instructor,mentor,outreach,phone
01R04,Alabama Region,0,i,1,,,
02R04,Alaska Region,0,io,3,,1,
03R04,Arizona New Mexico El Paso Region,3,imop,4,1,3,1
37R04,Cascades Region,0,im,1,1,,
43R08,Central and South Texas Region,0,imop,2,1,2,1
13R12,Central and Southern Illinois Region,0,i,1,,,
05R04,Central California Region,0,i,6,,,
10R28,Central Florida Region,16,i,1,,,
38R16,Central Pennsylvania Region,0,i,1,,,
13R04,Chicago and Northern Illinois Region,10,i,1,,,
06R08,Colorado and Wyoming Region,1,imop,2,1,2,1
07R08,Connecticut and Rhode Island Region,0,i,1,,,
34R08,Dakotas Region,0,,,,,
05R32,Desert to the Sea Region,0,i,1,,,
25R16,Eastern Missouri Region,19,i,2,,,
32R04,Eastern New York Region,0,io,3,,1,
33R16,Eastern North Carolina Region,0,,,,,
38R24,Eastern Pennsylvania Region,0,imo,2,1,1,
11R04,Georgia Region,0,i,4,,,
05R20,Gold Country Region,0,,,,,
20R04,Greater Chesapeake Region,0,io,1,,1,
35R12,Greater Cincinnati-Dayton Region,0,io,1,,1,
32R16,Greater New York Region,4,i,1,,,
12R04,Idaho and Montana Region,0,,,,,
14R12,Indiana Region,0,i,1,,,
15R08,Iowa Region,0,i,1,,,
27R12,Kansas Nebraska SW Iowa Region,12,i,2,,,
17R08,Kentucky Region,13,i,2,,,
05R12,Los Angeles Region,5,imop,5,2,2,1
18R08,Louisiana Region,0,,,,,
19R04,Maine Region,0,i,1,,,
21R04,Massachusetts Region,20,i,2,,,
22R08,Michigan Region,2,i,5,,,
23R12,Minnesota Region,18,imo,1,1,2,
24R08,Mississippi Region,0,,,,,
09R04,National Capital Area Region,20,mo,8,,1,
29R04,New Hampshire and Vermont Region,0,io,2,,1,
30R08,New Jersey Region,0,imo,3,1,1,
10R08,North Florida Region,0,i,3,,,
43R16,North Texas Region,8,i,4,,,
35R16,Northeast Ohio Region,0,i,1,,,
05R28,Northern California Coastal Region,0,im,1,2,,
47R08,Northwest Region,7,im,3,1,,
35R20,Ohio Buckeye Region,0,io,2,1,,
36R04,Oklahoma and Arkansas Region,0,i,1,,,
54R04,Pacific Islands Region,0,i,1,,,
56R04,Puerto Rico Region,0,i,1,,,
05R24,San Diego Region,9,iop,3,,1,1
40R08,South Carolina Region,0,io,1,,1,
10R12,South Florida Region,17,i,1,,,
42R20,Tennessee Region,11,i,4,,,
43R28,Texas Gulf Coast Region,15,iop,1,,1,1
44R04,Utah and Nevada Region,6,imo,1,1,2,
46R08,Virginia Region,0,i,2,,,
48R04,West Virginia Region,0,,,,,
32R20,Western and Central New York Region,14,i,1,,,
25R12,Western Missouri Region,0,io,1,,2,
33R08,Western North Carolina Region,0,im,1,1,,
38R28,Western Pennsylvania Region,0,i,1,,,
49R12,Wisconsin Region,0,o,,,1,
